Discovery ID,Discovery Method,Discovery Year,Discovery Facility
1,Radial Velocity,2004.0,McDonald Observatory
2,Transit,2020.0,Transiting Exoplanet Survey Satellite (TESS)
3,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS)
4,Transit,2011.0,CoRoT
5,Transit,2019.0,K2
6,Transit,2015.0,Cerro Tololo Inter-American Observatory
7,Transit,2009.0,MEarth Project
8,Transit,2022.0,Transiting Exoplanet Survey Satellite (TESS)
9,Radial Velocity,2004.0,W. M. Keck Observatory
10,Radial Velocity,2021.0,Calar Alto Observatory
11,Transit,2017.0,K2
14,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS)
15,Transit,2008.0,HATNet
16,Transit,2010.0,HATNet
20,Transit,2007.0,HATNet
21,Transit,2016.0,HATSouth
22,Transit,2016.0,Multiple Observatories
25,Radial Velocity,2005.0,Haute-Provence Observatory
26,Radial Velocity,2019.0,La Silla Observatory
29,Transit,2019.0,Transiting Exoplanet Survey Satellite (TESS)
31,Radial Velocity,2007.0,Subaru Telescope
35,Radial Velocity,1999.0,W. M. Keck Observatory
39,Transit,2016.0,K2
43,Transit,2024.0,K2
57,Transit,2018.0,K2
59,Transit,2015.0,K2
67,Transit,2017.0,KELT-North
68,Transit,2014.0,Kepler
70,Transit,2011.0,Kepler
71,Transit,2012.0,Kepler
75,Transit,2016.0,Kepler
76,Transit,2013.0,Kepler
86,Transit,2017.0,Qatar
90,Transit,2019.0,Qatar
102,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS)
106,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS)
128,Transit,2008.0,SuperWASP
129,Transit,2017.0,SuperWASP-South
130,Transit,2016.0,SuperWASP-North
131,Transit,2016.0,SuperWASP
133,Transit,2016.0,SuperWASP-South
136,Transit,2020.0,SuperWASP-North
137,Transit,2019.0,WASP-South
138,Transit,2018.0,SuperWASP-South
140,Transit,2019.0,SuperWASP
142,Transit,2020.0,SuperWASP
143,Transit,2009.0,SuperWASP
144,Transit,2010.0,SuperWASP
145,Transit,2007.0,SuperWASP
146,Transit,2011.0,SuperWASP
148,Transit,2012.0,SuperWASP
152,Transit,2014.0,SuperWASP
155,Transit,2015.0,SuperWASP
160,Transit,2007.0,XO
161,Transit,2019.0,XO
162,Transit,2018.0,Transiting Exoplanet Survey Satellite (TESS)
